tconst,averageRating,numVotes
tt10140310,5.6,30
tt10140532,4.9,24
tt10140592,7.5,18
tt10140922,6.3,629
tt10140990,9.1,757
tt10141026,5.9,101
tt10141640,8.3,6
tt10141678,4.2,26
tt10141690,8.0,7
tt10141990,8.0,151
tt10143114,5.2,230
tt10143308,5.4,432
tt10143498,6.2,2632
tt10144210,6.6,14
tt10144276,7.0,69
tt10145122,6.6,8334
tt10146070,7.3,139
tt10146194,6.7,40
tt10146198,6.5,146
tt10146204,6.1,26
tt10146208,6.4,483
tt10146586,5.7,24
tt10146728,7.3,216
